2026-04-26 15:30:24,219 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 81: Lap timing integrity check failed for 1 lap(s)
2026-04-26 15:30:24,261 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 30: Lap timing integrity check failed for 2 lap(s)
2026-04-26 15:30:24,270 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 77: Lap timing integrity check failed for 2 lap(s)
2026-04-26 15:30:25,782 | 2024 Las Vegas | fastf1.fastf1.core | WARNING | Driver 63 completed the race distance 00:00.427000 before the recorded end of the session.
2026-04-26 15:32:08,270 | 2024 Lusail | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '43'
2026-04-26 15:32:08,274 | 2024 Lusail | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '31'
2026-04-26 15:35:01,075 | 2025 Melbourne | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '87'
2026-04-26 15:35:01,092 | 2025 Melbourne | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '30'
2026-04-26 15:35:01,106 | 2025 Melbourne | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '5'
2026-04-26 15:35:02,709 | 2025 Melbourne | fastf1.fastf1.core | WARNING | Driver 4 completed the race distance 00:00.022000 before the recorded end of the session.
2026-04-26 15:43:03,644 | 2025 Miami Gardens | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '6'
2026-04-26 15:43:03,653 | 2025 Miami Gardens | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '31'
2026-04-26 15:43:03,679 | 2025 Miami Gardens | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '18'
2026-04-26 15:43:03,690 | 2025 Miami Gardens | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '5'
2026-04-26 15:43:05,062 | 2025 Miami Gardens | fastf1.fastf1.core | WARNING | Driver 81 completed the race distance 00:00.036000 before the recorded end of the session.
2026-04-26 15:51:48,574 | 2025 Spielberg | telemetry | WARNING | Driver SAI lap 1.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 15:53:39,225 | 2025 Silverstone | telemetry | WARNING | Driver COL lap 1.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 15:53:55,776 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '81'
2026-04-26 15:53:55,788 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '4'
2026-04-26 15:53:55,799 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '16'
2026-04-26 15:53:55,811 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '1'
2026-04-26 15:53:55,821 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '63'
2026-04-26 15:53:55,833 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '23'
2026-04-26 15:53:55,845 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '44'
2026-04-26 15:53:55,857 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '30'
2026-04-26 15:53:55,869 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '5'
2026-04-26 15:53:55,880 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '10'
2026-04-26 15:53:55,892 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '87'
2026-04-26 15:53:55,902 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '27'
2026-04-26 15:53:55,914 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '22'
2026-04-26 15:53:55,924 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '18'
2026-04-26 15:53:55,936 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '31'
2026-04-26 15:53:55,947 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '12'
2026-04-26 15:53:55,958 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '14'
2026-04-26 15:53:55,969 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '55'
2026-04-26 15:53:55,981 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '43'
2026-04-26 15:53:55,992 | 2025 Spa-Francorchamps | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '6'
2026-04-26 15:59:52,794 | 2025 Monza | telemetry | WARNING | Driver HUL lap 1.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 15:59:54,008 | 2025 Monza | telemetry | WARNING | Driver ALB lap 1.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 15:59:55,769 | 2025 Monza | telemetry | WARNING | Driver ALB lap 2.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 15:59:57,526 | 2025 Monza | telemetry | WARNING | Driver ALB lap 3.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 15:59:59,236 | 2025 Monza | telemetry | WARNING | Driver ALB lap 4.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 16:00:00,982 | 2025 Monza | telemetry | WARNING | Driver ALB lap 5.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 16:00:02,746 | 2025 Monza | telemetry | WARNING | Driver ALB lap 6.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 16:00:04,568 | 2025 Monza | telemetry | WARNING | Driver ALB lap 7.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 16:00:06,316 | 2025 Monza | telemetry | WARNING | Driver ALB lap 8.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 16:00:08,091 | 2025 Monza | telemetry | WARNING | Driver ALB lap 9.0: If mode is 'interp', window_length must be less than or equal to the size of x.
2026-04-26 16:01:30,965 | 2025 Baku | fastf1.fastf1.core | WARNING | Driver 1 completed the race distance 00:00.015000 before the recorded end of the session.
2026-04-26 16:09:15,496 | 2025 São Paulo | fastf1.fastf1.core | WARNING | Driver 4 completed the race distance 00:00.010000 before the recorded end of the session.
2026-04-26 16:11:01,847 | 2025 Las Vegas | fastf1.fastf1.core | WARNING | Fixed incorrect tyre stint information for driver '63'
