Location,Year,EventName,Pirelli_Link,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Compound_Hard_Hardness,Compound_Medium_Hardness,Compound_Soft_Hardness
Zandvoort,2025,Dutch Grand Prix,https://press.pirelli.com/there-at-the-start-75-years-ago-pirelli-hits-the-500-grands-prix-mark/,3,3,3,4,5,3,4,4,25.0,22.5,C2,C3,C4,4.259,72,2,3,4
Monza,2025,Italian Grand Prix,https://press.pirelli.com/art-history-and-speed-monza-gets-ever-more-special/,3,3,2,4,3,4,2,1,25.5,23.5,C3,C4,C5,5.793,53,3,4,5
Baku,2025,Azerbaijan Grand Prix,https://press.pirelli.com/the-c6-is-back-for-baku/,5,2,1,5,3,4,1,2,27.0,26.0,C4,C5,C6,6.003,51,4,5,6
Marina Bay,2025,Singapore Grand Prix,https://press.pirelli.com/managing-the-heat-under-the-lights-in-singapore/,4,3,3,5,2,5,2,5,22.0,20.0,C3,C4,C5,4.94,62,3,4,5
Austin,2025,United States Grand Prix,https://press.pirelli.com/a-texas-rodeo-with-a-jump-in-compounds/,4,3,3,4,4,3,4,4,24.0,22.0,C1,C3,C4,5.513,56,1,3,4
Mexico City,2025,Mexico City Grand Prix,https://press.pirelli.com/once-again-a-skip-in-compounds-for-the-mexico-city-weekend/,3,2,2,5,1,3,2,5,23.5,21.0,C2,C4,C5,4.304,71,2,4,5
São Paulo,2025,São Paulo Grand Prix,https://press.pirelli.com/harder-compounds-for-the-sao-paulo-sprint-weekend/,3,3,2,5,3,3,3,4,25.0,23.0,C2,C3,C4,4.309,71,2,3,4
Las Vegas,2025,Las Vegas Grand Prix,https://press.pirelli.com/roulette-in-las-vegas/,2,1,2,5,4,3,2,1,28.0,26.0,C3,C4,C5,6.201,50,3,4,5
Lusail,2025,Qatar Grand Prix,https://press.pirelli.com/another-desert-this-time-in-doha/,3,4,2,4,5,3,5,4,28.0,23.5,C1,C2,C3,5.419,57,1,2,3
Yas Island,2025,Abu Dhabi Grand Prix,https://press.pirelli.com/in-abu-dhabi-for-a-first-step-towards-the-f1-of-the-future/,4,3,3,4,3,4,3,3,23.5,21.5,C3,C4,C5,5.281,58,3,4,5
