Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Location,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapTime_Sec,FuelLoad,Track_Evolution_Physics,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Cumulative_Field_Dist_KM,Compound_Hard_Int,Compound_Medium_Int,Compound_Soft_Int,Wear_Severity_Index,Track_Flow_Type,Compound_Int,E_lap,Gap_To_Car_Ahead,Grip_Aero_Balance,Total_Min_Pressure,Pressure_Delta,LatOffset_Mean,LatOffset_Std,Lap_Gap,Prev_LapTime,Lag_2,Rolling_Avg_3
0 days 02:23:08.171000,ALB,0 days 00:01:31.912000,49.0,2.0,SOFT,21.0,Williams,Silverstone,21.5,54.0,1001.0,False,29.6,188,3.4,91.912,11.899999999999991,10721.62,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,5360.81,1,2,3,15,0.8333333333333334,3,32.532636030237796,1.2631820269203728,0.6,49.5,3.5,0.2711288280949192,0.29070187391829394,1.0,91.466,91.537,91.70633333333332
0 days 02:24:40.031000,ALB,0 days 00:01:31.860000,50.0,2.0,SOFT,22.0,Williams,Silverstone,21.6,54.0,1001.0,False,29.7,182,4.0,91.86,9.803846153846152,10921.914,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,5460.957,1,2,3,15,0.8333333333333334,3,33.42779633976702,1.6457621651442063,0.6,49.5,3.5,0.3903107860316127,0.4749081871171499,1.0,91.912,91.466,91.63833333333334
0 days 02:26:11.961000,ALB,0 days 00:01:31.930000,51.0,2.0,SOFT,23.0,Williams,Silverstone,21.7,54.0,1001.0,False,30.2,203,3.7,91.93,7.707692307692298,11122.208,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,5561.104,1,2,3,15,0.8333333333333334,3,33.15532599298862,2.516178336995725,0.6,49.5,3.5,0.407616236338151,0.4704865748800669,1.0,91.86,91.912,91.746
0 days 02:27:43.770000,ALB,0 days 00:01:31.809000,52.0,2.0,SOFT,24.0,Williams,Silverstone,21.8,52.0,1001.0,False,29.8,193,4.8,91.809,5.6115384615384585,11322.502,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,5661.251,1,2,3,15,0.8333333333333334,3,33.07602717046621,2.1791174932015127,0.6,49.5,3.5,0.3082869770754715,0.363730831997611,1.0,91.93,91.86,91.90066666666667
0 days 01:08:29.979000,ALO,0 days 00:01:33.156000,4.0,1.0,MEDIUM,5.0,Aston Martin,Silverstone,21.4,55.0,1001.2,False,29.3,201,3.0,93.156,101.61538461538461,777.612,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,388.806,1,2,3,15,0.8333333333333334,2,33.03262588791628,0.3702418521049327,0.6,49.5,3.5,0.3681574295233629,0.4663982396535815,1.0,93.424,94.419,95.95633333333335
0 days 01:10:04.136000,ALO,0 days 00:01:34.157000,5.0,1.0,MEDIUM,6.0,Aston Martin,Silverstone,21.4,55.0,1001.2,False,29.3,221,3.4,94.157,99.51923076923077,1013.252,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,506.626,1,2,3,15,0.8333333333333334,2,31.46783791108735,0.6892548846184341,0.6,49.5,3.5,0.4647908427313115,0.562271816763111,1.0,93.156,93.424,93.66633333333334
0 days 01:11:38.772000,ALO,0 days 00:01:34.636000,6.0,1.0,MEDIUM,7.0,Aston Martin,Silverstone,21.4,55.0,1001.2,False,29.5,183,3.4,94.636,97.42307692307692,1248.892,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,624.446,1,2,3,15,0.8333333333333334,2,31.304566493690913,0.7842467794436526,0.6,49.5,3.5,0.3624764837046584,0.44389380830294434,1.0,94.157,93.156,93.57900000000001
0 days 01:13:13.417000,ALO,0 days 00:01:34.645000,7.0,1.0,MEDIUM,8.0,Aston Martin,Silverstone,21.4,55.0,1001.2,False,29.2,190,4.0,94.645,95.32692307692308,1496.314,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,748.157,1,2,3,15,0.8333333333333334,2,32.09493314766441,0.332530112563093,0.6,49.5,3.5,0.33139742004070694,0.35575040440224936,1.0,94.636,94.157,93.983
0 days 01:14:47.436000,ALO,0 days 00:01:34.019000,8.0,1.0,MEDIUM,9.0,Aston Martin,Silverstone,21.5,55.0,1001.4,False,29.1,201,3.5,94.019,93.23076923076923,1731.954,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,865.977,1,2,3,15,0.8333333333333334,2,30.959685046564964,1.0671273214588282,0.6,49.5,3.5,0.3925847634879785,0.5509506359567831,1.0,94.645,94.636,94.47933333333333
0 days 01:16:21.093000,ALO,0 days 00:01:33.657000,9.0,1.0,MEDIUM,10.0,Aston Martin,Silverstone,21.3,55.0,1001.2,False,29.1,201,3.5,93.657,91.13461538461539,1967.594,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,983.797,1,2,3,15,0.8333333333333334,2,31.34952068856781,1.6242789118393948,0.6,49.5,3.5,0.5955470131025438,0.7377602190107321,1.0,94.019,94.645,94.43333333333334
